Country,KM,Miles,,
Seychelles,"6,780","4,213",,
Sierra Leone,"11,716","7,280",,
Singapore,"3,837","2,384",,
Sint Maarten,"13,873","8,620",,
Solomon Islands,"7,736","4,807",,
Somalia,"6,815","4,235",,
South Africa,"11,237","6,982",,
South Georgia and the South Sandwich Islands,"16,382","10,179",,
South Korea,"2,118","1,316",,
South Sudan,"8,020","4,983",,
Sri Lanka,"3,917","2,434",,
Sudan,"7,740","4,809",,
Suriname,"15,136","9,405",,
Svalbard and Jan Mayen,"5,901","3,667",,
Swaziland,"10,303","6,402",,
Sweden,"6,379","3,964",,
Switzerland,"7,596","4,720",,
Syria,"5,800","3,604",,
Taiwan,"2,103","1,307",,
Tajikistan,"2,913","1,810",,
Tanzania,"8,597","5,342",,
Thailand,"2,246","1,396",,
Togo,"10,630","6,605",,
Tokelau,"10,068","6,256",,
Tonga,"10,571","6,569",,
Trinidad and Tobago,"14,617","9,083",,
Tunisia,"8,253","5,128",,
Turkey,"5,950","3,697",,
Turkmenistan,"3,918","2,435",,
Turks and Caicos Islands,"13,601","8,451",,
Tuvalu,"9,121","5,668",,
U.S. Virgin Islands,"13,880","8,625",,
Uganda,"8,294","5,154",,
Ukraine,"5,947","3,695",,
United Arab Emirates,"5,001","3,107",,
United Kingdom,"7,780","4,834",,
United States,"11,647","7,237",,
United States Minor Outlying Islands,"6,318","3,926",,
Uruguay,"18,139","11,271",,
Uzbekistan,"3,465","2,153",,
Vanuatu,"8,710","5,412",,
Vatican,"7,573","4,706",,
Venezuela,"15,216","9,455",,
Vietnam,"2,458","1,527",,
Wallis and Futuna,"9,862","6,128",,
Western Sahara,"10,621","6,600",,
Yemen,"5,929","3,684",,
Zambia,"9,669","6,008",,
Zimbabwe,"9,964","6,191",,
