Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Mauritius,"107,366","151,190","177,342","197,754","286,147","320,088","292,129","393,287","496,927","620,171","648,701","745,182","842,064","770,829","762,200","807,777","806,389","699,954","877,784","973,991"
Mayotte,349,690,921,"1,537","5,261","5,833","5,183","6,824","11,210","23,396","77,715",0,0,0,0,0,0,0,,
Mexico,"3,267,030","4,972,754","5,537,687","8,823,554","11,717,655","13,866,488","12,298,991","17,872,653","23,975,906","27,517,963","28,966,300","32,255,386","33,809,860","32,447,349","35,954,952","44,129,450","46,382,165","44,827,693","67,440,744","77,534,944"
"Micronesia, Federated States of","2,743","7,448","2,417","2,876","9,289","4,242","4,634","3,821","3,413","4,079","4,938","9,341","14,503","14,833","26,441","18,502","18,646","20,866","20,123","30,411"
"Moldova, Republic of","6,717","23,909","51,485","31,629","50,030","71,268","72,571","80,523","97,491","123,942","112,629","115,205","99,966","76,791","97,899","108,656","129,312","145,799","178,810","206,630"
Mongolia,"155,888","233,354","318,885","433,495","683,623","907,828","1,057,931","1,449,762","2,731,758","2,653,509","2,449,592","2,216,382","1,571,983","992,268","1,261,249","1,646,742","1,826,590","1,618,062","2,233,057","2,887,363"
Montenegro,0,0,0,0,"53,632","86,595","76,823","71,083","89,982","145,761","86,383","157,066","134,142","108,747","132,497","178,356","113,817","113,158","96,126","219,019"
Montserrat,26,39,76,65,666,42,41,11,18,9,151,416,"3,561",339,217,335,419,404,215,374
Morocco,"695,786","943,480","1,206,426","1,569,526","2,182,695","2,348,926","2,129,258","2,484,472","3,042,649","3,131,193","3,271,645","2,962,993","2,901,954","3,126,765","3,185,421","3,690,128","4,034,545","4,173,568","5,689,731","5,741,095"
Mozambique,"45,028","75,154","91,478","127,940","163,553","295,995","339,134","496,391","700,247","940,887","1,199,293","1,968,740","1,941,302","1,337,071","1,317,469","1,869,325","1,957,695","2,000,069","2,895,605","3,292,124"
Myanmar,"910,224","938,436","934,847","1,207,418","1,700,118","1,977,766","2,261,243","3,475,524","4,821,497","5,673,756","7,338,689","9,367,647","9,429,575","8,254,504","9,025,273","10,567,874","12,310,992","12,547,510","10,527,477","13,615,875"
Namibia,"37,624","52,539","60,354","133,158","246,523","243,165","264,497","229,542","282,265","438,911","481,941","545,725","497,688","272,144","271,474","319,473","198,174","223,112","401,672","556,848"
Nauru,50,99,30,0,51,1,20,22,185,972,"1,075","2,752","4,883","1,261",401,"1,911","1,227","1,939","11,277","12,620"
Nepal,"122,010","163,244","187,936","259,796","386,358","375,612","408,889","731,257","1,181,226","1,968,162","2,210,887","2,283,579","830,006","870,531","971,085","1,078,402","1,482,478","1,167,416","1,950,333","1,655,008"
Netherlands Antilles,"46,028","67,832","87,693","122,922","69,275","88,372","62,736","104,073",0,0,0,0,0,0,0,0,0,0,,
New Caledonia,"7,632","8,258","15,148","19,171","30,856","52,998","55,644","407,155","135,163","96,653","90,341","90,754","106,188","86,517","85,249","134,124","156,064","121,935","151,795","168,871"
New Zealand,"802,513","1,077,366","1,353,438","1,619,781","2,162,268","2,509,531","2,085,362","2,764,512","3,736,693","3,864,558","4,131,684","4,737,939","4,922,088","4,814,379","5,099,502","5,799,192","5,736,305","6,052,988","8,560,938","9,175,428"
Nicaragua,"69,310","101,593","113,997","162,719","212,784","255,614","193,256","299,554","422,029","466,856","522,915","568,134","668,771","626,172","625,001","474,952","502,072","486,434","794,259","723,535"
Niger,"19,336","24,995","33,900","71,762","30,735","166,813","283,717","272,148","142,167","158,352","183,941","243,696","175,158","101,030","97,703","114,661","287,335","303,135","391,587","675,909"
Nigeria,"1,785,973","1,718,559","2,303,162","2,852,152","3,799,462","6,767,052","5,475,594","6,696,844","9,205,574","9,296,313","12,042,613","15,393,425","13,715,724","10,063,893","12,215,486","13,500,035","16,622,615","16,787,427","22,636,158","22,299,683"
Norfolk Island,379,359,256,535,"1,752",940,401,221,358,0,0,0,"2,045","2,610","2,515","1,974",485,"1,968",956,"1,752"
Norway,"899,273","1,028,512","1,321,906","1,700,841","2,202,099","2,561,129","2,675,353","2,836,321","3,785,872","3,019,832","2,737,115","2,731,442","2,858,078","2,605,251","2,475,022","2,652,394","3,448,822","3,533,992","4,404,092","5,191,404"
Oceania Nes,"7,557","10,382","11,680","12,686","9,621","6,214","5,343","2,650","2,092","2,039","2,517","5,199","6,083","8,493","4,212","18,659","42,647","50,664","130,068","109,809"
Oman,"81,959","111,021","190,993","339,541","548,029","794,515","747,451","944,497","998,177","1,811,576","1,900,844","2,065,381","2,117,933","2,174,997","2,325,082","2,875,748","3,020,944","3,076,466","3,565,159","4,205,491"
Pakistan,"1,854,991","2,465,792","3,427,662","4,239,365","5,831,349","6,051,066","5,515,074","6,937,792","8,439,729","9,276,492","11,019,596","13,244,482","16,481,153","17,468,609","18,309,555","16,967,145","16,166,921","15,357,593","24,240,969","23,089,416"
Palau,189,433,683,686,763,"3,057","1,304","1,965","1,194","1,640","3,186","10,456","22,034","19,515","17,211","13,734","18,626","24,084","36,570","54,165"
"Palestine, State of","6,695","9,843","23,598","27,864","37,676","40,780","23,624","26,008","47,815","40,725","90,677","75,507","70,770","61,599","69,361","73,758","82,144","100,456","128,005","158,130"
Panama,"1,479,993","2,186,951","3,151,121","3,867,163","5,647,806","7,893,907","6,522,357","11,967,279","14,555,810","15,305,692","10,992,734","9,307,389","8,529,293","6,403,851","6,654,978","6,947,567","7,944,501","8,793,631","10,179,466","12,646,743"
Papua New Guinea,"60,926","52,524","66,585","126,397","213,776","344,061","528,171","352,496","453,024","640,097","553,070","636,457","989,775","655,088","778,168","786,854","800,430","922,820","1,050,193","1,426,363"
Paraguay,"126,193","234,940","252,560","327,496","467,841","763,509","513,924","1,050,604","1,248,051","1,335,795","1,356,500","1,396,245","1,273,283","1,163,294","1,561,140","1,671,466","1,432,117","1,216,925","1,780,723","1,895,119"
Peru,"353,741","418,408","608,884","1,008,535","1,683,201","2,774,372","2,098,874","3,549,668","4,653,277","5,332,544","6,188,838","6,100,848","6,354,911","6,032,569","6,981,392","8,101,650","8,513,082","8,865,726","13,302,116","13,532,299"
Philippines,"3,092,688","4,268,718","4,687,631","5,738,135","7,528,378","9,132,231","8,584,708","11,540,277","14,255,388","16,732,210","19,868,125","23,473,577","26,692,700","30,113,525","32,117,391","35,111,186","40,763,852","41,880,389","57,308,182","64,679,392"
Poland,"1,620,253","1,843,723","2,595,437","4,006,174","6,554,791","9,040,368","7,561,768","9,438,307","10,939,549","12,386,657","12,574,875","14,256,799","14,346,519","15,170,215","17,916,691","20,944,256","23,880,107","26,730,658","36,578,290","38,163,113"
Qatar,"61,802","103,518","203,668","436,809","622,613","1,074,164","872,411","855,444","1,198,757","1,205,100","1,710,908","2,254,011","2,279,509","1,540,118","1,683,515","2,488,628","2,409,678","2,631,010","3,960,767","3,988,918"
Romania,"505,539","1,056,956","1,369,263","6,085,417","2,099,519","2,889,920","2,377,288","3,004,462","3,453,775","2,797,186","2,822,537","3,223,178","3,186,742","3,462,138","3,776,979","4,512,111","4,573,438","5,126,384","6,708,528","7,397,191"
Russian Federation,"6,029,927","9,098,116","13,211,283","15,832,487","28,529,895","33,075,850","17,513,771","29,612,074","38,903,018","44,056,551","49,591,172","53,676,944","34,809,906","37,506,059","43,149,783","48,005,203","49,748,487","50,504,392","67,550,055","76,122,649"
Rwanda,"3,533","5,130","12,009","12,406","34,866","59,374","57,987","49,993","66,652","90,106","134,109","114,985","124,274","109,861","128,602","165,170","265,075","282,523","335,137","406,611"
Saint Kitts and Nevis,153,195,582,636,"2,584","2,648","1,225","2,669","4,385","2,705","15,592","26,663","13,425","4,399","8,486","11,544","9,712","13,484","13,238","14,687"
Saint Lucia,"1,535","2,294","2,829","4,122","6,854","6,689","6,787","8,115","10,152","28,785","19,879","29,903","21,282","17,001","15,918","18,952","21,560","23,347","25,509","36,083"
Saint Pierre and Miquelon,0,0,36,43,50,0,0,0,2,4,19,228,"2,728",7,40,16,66,386,97,16
Saint Vincent and the Grenadines,"7,646","13,196","15,211","14,841","26,634","58,587","81,791","73,790","77,939","29,060","25,232","37,294","39,538","17,986","42,019","36,939","21,292","10,189","32,886","21,626"
Samoa,"2,832","5,885","5,941","12,951","11,639","25,254","37,236","70,052","37,816","71,746","54,473","55,867","64,573","70,514","64,630","70,335","87,847","87,306","102,271","123,824"
Sao Tome and Principe,199,223,550,"1,218","1,797","1,888","2,198","2,054","1,792","3,008","4,862","5,728","7,871","6,438","6,877","7,255","8,921","20,313","14,945","15,288"
Saudi Arabia,"2,146,803","2,775,458","3,824,415","5,055,834","7,839,959","10,823,468","8,977,852","10,366,445","14,849,707","18,452,901","18,739,814","20,575,242","21,683,665","19,266,738","18,320,971","17,560,589","23,876,506","28,094,808","30,321,535","37,990,175"
Senegal,"72,851","108,308","133,080","187,267","335,027","401,551","399,309","498,321","680,361","793,973","997,396","1,650,233","2,194,515","2,236,909","2,048,210","2,145,218","2,211,022","2,563,934","3,353,688","4,068,334"
Serbia,0,0,0,"300,171","363,992","492,520","308,321","345,016","396,353","412,876","431,912","424,563","416,209","432,989","545,872","729,047","1,032,970","1,624,342","2,242,268","2,176,823"
Serbia and Montenegro,"135,526","163,199","201,084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Seychelles,"1,787","1,782","3,403","5,303","7,529","14,130","15,248","14,856","35,010","33,167","38,670","45,582","59,174","55,826","48,993","61,338","65,647","57,670","68,655","95,633"
Sierra Leone,"16,606","28,257","30,756","38,979","58,591","78,771","54,662","98,352","224,834","249,188","152,567","163,052","278,649","250,144","244,459","253,198","313,541","371,372","489,119","573,140"
Singapore,"8,863,772","12,687,600","16,632,262","23,185,291","29,946,491","32,305,805","30,066,363","32,347,238","35,570,137","40,750,209","45,831,865","48,911,175","53,139,141","45,802,680","45,668,183","49,817,841","54,798,488","57,624,786","55,215,268","81,167,608"
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,"16,092","7,015","9,541","13,225","6,584","5,332","5,619","4,867"
Solomon Islands,"2,116","3,320","5,078","5,012","10,257","11,902","16,137","28,414","30,676","36,681","36,802","49,442","82,257","93,047","96,147","118,338","98,257","116,602","167,106","196,403"
Somalia,"3,903","9,522","16,567","27,578","26,658","40,339","67,309","72,232","91,209","101,107","133,761","206,079","300,015","397,138","473,644","637,244","731,382","892,585","999,699","1,046,643"
South Africa,"2,029,364","2,951,904","3,825,965","5,767,709","7,444,900","8,617,622","7,365,588","10,799,862","13,362,300","15,323,312","16,830,776","15,699,146","15,878,945","12,936,213","14,894,297","16,337,354","16,542,942","15,238,826","21,115,297","24,196,442"
South Sudan,0,0,0,0,0,0,0,0,0,"34,312","75,087","66,079","155,333","45,680","51,852","77,076","122,242","156,083","139,817","156,518"
Sri Lanka,"504,436","694,856","939,670","1,106,412","1,389,759","1,630,094","1,569,465","1,994,848","2,988,724","3,001,305","3,436,549","3,792,797","4,308,107","4,331,231","4,096,695","4,266,680","4,090,606","3,842,700","5,252,222","3,755,367"
Sudan,"478,418","815,887","1,293,592","1,410,329","1,554,461","1,874,334","1,705,392","1,950,773","1,994,640","2,178,614","2,398,432","1,928,693","2,399,546","2,193,031","2,227,198","1,884,771","2,289,681","2,511,411","1,816,390","2,033,574"
Suriname,"19,767","30,270","38,682","42,939","68,982","102,729","96,164","113,951","136,184","189,140","174,032","176,865","202,207","141,602","178,487","216,222","234,528","221,329","276,740","321,421"
Sweden,"1,452,933","1,858,587","2,576,501","3,277,859","4,550,030","5,116,284","4,156,381","5,708,835","6,566,883","6,416,053","6,799,061","7,167,601","7,109,201","6,319,591","7,019,611","8,254,438","8,537,756","8,368,156","11,034,894","11,396,090"
Switzerland,"841,755","1,512,544","1,956,173","2,520,434","3,614,204","3,917,989","2,664,658","3,038,875","3,713,552","3,507,411","3,529,136","3,109,863","3,196,153","3,231,790","3,194,306","4,111,622","4,597,731","5,091,730","6,304,566","7,682,845"
Syrian Arab Republic,"479,920","692,654","888,629","1,355,551","1,892,059","2,293,355","2,210,406","2,442,972","2,420,241","1,190,229","690,152","984,371","1,024,351","939,659","1,104,989","1,275,207","1,313,807","833,517","482,352","424,505"
"Taipei, Chinese","9,004,478","13,544,859","16,549,683","20,733,250","23,462,252","25,877,295","20,505,295","29,674,922","35,109,073","36,777,357","40,634,145","46,276,868","45,055,573","40,400,323","43,934,720","48,656,780","55,109,309","60,117,346","78,360,583","81,586,754"
Tajikistan,"20,808","53,561","143,738","305,778","513,766","1,479,683","1,217,574","1,376,501","1,996,778","1,747,870","1,869,364","2,468,236","1,796,604","1,710,061","1,323,547","1,425,934","1,590,068","1,016,830","1,682,964","2,217,030"
"Tanzania, United Republic of","191,471","215,972","303,582","382,773","602,969","950,439","914,052","1,253,127","1,653,632","2,089,722","3,140,702","3,843,566","4,286,317","3,636,663","3,135,641","3,590,574","3,811,416","4,174,266","6,137,117","7,774,679"
Thailand,"3,827,905","5,801,575","7,819,296","9,764,065","12,032,910","15,636,354","13,307,098","19,741,222","25,694,604","31,196,768","32,717,904","34,289,228","38,310,626","37,653,331","38,780,758","42,974,256","45,584,839","50,513,176","69,355,428","78,479,645"
Timor-Leste,"1,067","1,709","1,273","5,794","9,520","9,426","23,260","42,832","70,433","62,474","47,386","60,342","105,954","167,048","132,924","132,781","142,949","191,272","260,433","290,483"
Togo,"262,540","398,654","538,095","704,015","1,376,504","1,218,237","1,129,801","1,333,110","1,831,410","3,383,142","2,443,222","2,491,912","2,181,978","1,938,328","1,893,835","1,991,477","2,130,751","2,459,153","2,952,724","3,176,671"
Tonga,"2,043","6,278","2,941","3,740","7,679","7,966","7,995","9,754","13,277","20,160","38,480","23,943","30,464","30,906","28,205","24,951","29,443","33,719","53,652","56,682"
Trinidad and Tobago,"58,517","75,909","100,433","164,754","263,460","349,632","244,055","291,064","286,550","312,169","321,390","427,977","481,805","348,524","430,167","347,256","363,502","341,200","424,604","543,557"
Tunisia,"183,844","245,090","295,537","357,545","491,798","696,861","711,181","994,893","1,112,727","1,391,786","1,263,159","1,235,779","1,240,208","1,306,518","1,327,095","1,415,924","1,364,202","1,427,658","1,865,635","1,880,427"
Türkiye,"2,065,140","2,821,292","4,253,726","7,303,285","10,484,266","10,606,312","8,333,535","11,942,037","15,613,705","15,585,293","17,746,991","19,305,458","18,630,120","16,807,503","18,143,520","17,864,201","17,323,705","20,346,420","29,153,869","34,033,749"
Turkmenistan,"78,828","84,549","90,876","162,571","302,538","801,936","915,699","525,117","784,360","1,699,117","1,137,644","954,282","817,095","340,029","369,050","316,779","430,853","443,489","513,404","867,636"
Turks and Caicos Islands,23,2,248,739,926,"1,380",406,424,400,296,378,"1,086","3,791",885,"2,677","3,010","3,025","3,311","4,972","9,960"
Tuvalu,67,"2,244","6,349","10,882","6,644","46,251","6,058","8,417","14,939","143,449","7,534","4,645","15,337","5,624","18,345","12,147","21,738","16,141","46,425","33,201"
Uganda,"51,389","76,427","79,366","137,802","202,945","230,100","231,172","257,526","359,382","495,143","452,213","486,569","555,168","825,620","777,325","706,400","740,649","790,287","1,022,951","1,076,903"
Ukraine,"928,552","1,443,292","2,492,521","3,722,129","5,921,159","7,566,283","3,603,782","5,563,831","7,147,075","7,324,649","7,849,225","5,106,229","3,516,420","4,235,573","5,040,557","7,025,517","7,399,575","6,877,930","9,404,594","3,300,422"
United Arab Emirates,"5,036,997","6,841,135","8,729,839","11,404,780","17,104,968","23,643,690","18,632,296","21,235,461","26,812,848","29,568,343","33,411,295","39,034,507","37,069,274","30,473,260","28,842,011","29,902,887","33,412,895","32,310,092","43,818,205","53,861,687"
United Kingdom,"10,823,721","14,966,962","18,976,474","24,163,209","31,666,365","36,072,739","31,277,364","38,767,054","44,122,055","46,296,693","50,942,128","57,141,135","59,667,967","56,261,404","57,039,880","56,987,896","62,425,024","72,561,344","87,029,777","81,544,682"
Uruguay,"127,620","209,551","282,571","402,432","626,023","1,027,685","819,613","1,477,575","2,001,564","2,413,269","2,323,634","2,458,490","1,959,159","1,786,564","2,159,528","2,071,256","1,948,991","1,703,048","2,858,028","2,983,077"
Uzbekistan,"146,783","172,442","230,064","406,154","764,854","1,277,814","1,560,539","1,181,024","1,359,242","1,783,339","2,613,355","2,678,214","2,236,357","2,033,302","2,763,952","3,942,096","5,032,088","5,138,708","5,882,075","7,504,177"
Vanuatu,"2,885","7,228","7,798","18,324","21,289","34,643","47,442","22,604","133,860","133,612","380,483","180,236","72,398","64,875","66,050","63,431","77,252","72,412","87,643","96,198"
"Venezuela, Bolivarian Republic of","199,237","595,526","907,853","1,698,021","2,838,505","3,365,981","2,811,265","3,648,587","6,521,892","9,304,091","6,064,501","5,657,421","5,314,949","2,535,885","1,751,130","1,146,539","1,540,075","1,518,839","2,185,885","3,008,994"
Viet Nam,"3,182,739","4,260,028","5,643,899","7,463,355","11,894,984","15,122,133","16,300,914","23,101,556","29,091,568","34,212,587","48,586,298","63,730,014","66,381,154","61,585,175","72,117,144","84,015,799","97,868,882","113,815,239","137,904,870","146,959,900"
Wallis and Futuna Islands,0,0,59,367,570,"1,149",208,280,563,201,714,"1,224","1,512",921,301,293,715,881,"2,428","2,002"
Western Sahara,558,585,22,53,24,61,68,27,2,288,10,309,"2,597",218,"1,807",44,72,"1,456","1,100","1,382"
Yemen,"353,381","457,704","547,096","802,261","997,908","1,184,584","1,168,419","1,223,859","1,104,281","1,955,099","2,138,817","2,201,314","1,436,297","1,710,399","1,645,825","1,876,595","2,819,029","2,881,277","2,570,114","2,797,613"
Zambia,"34,875","51,042","48,495","102,525","198,265","264,348","152,030","301,676","617,335","697,306","729,692","725,666","553,244","492,415","713,843","969,452","970,349","681,339","780,854","979,685"
Zimbabwe,"30,266","113,063","125,370","136,293","203,347","133,100","156,285","315,863","410,278","430,484","413,826","403,801","546,347","390,871","441,285","446,070","368,805","524,709","920,006","1,124,587"
