Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
British Virgin Islands,"76,315",820,"22,182","121,004","116,263","57,273","15,681","141,798","155,440","153,822","11,068","114,974","427,602","37,095","11,808","36,814","10,362","8,905","19,783","108,624"
Brunei Darussalam,"33,892","47,891","53,141","99,630","113,149","130,543","140,455","367,609","744,394","1,252,438","1,703,776","1,746,815","1,411,657","567,520","653,107","1,597,617","649,865","466,218","639,056","831,169"
Bulgaria,"166,471","337,968","441,637","1,782,818","818,657","1,124,845","596,052","660,906","1,005,616","1,054,597","1,116,984","1,178,062","1,044,137","1,059,033","1,166,945","1,442,481","1,554,788","1,547,027","2,312,182","2,851,996"
Burkina Faso,"11,710","12,335","16,135","19,346","43,691","46,193","42,682","47,956","55,619","72,506","103,387","117,972","125,406","141,148","183,066","223,341","261,613","322,521","442,690","504,265"
Burundi,"3,445","4,814","11,889","10,179","13,034","17,682","33,988","33,361","42,544","46,460","50,962","51,602","43,347","45,241","45,173","36,904","66,388","73,966","126,902","119,948"
Cabo Verde,"2,596","2,746","5,188","10,094","16,826","14,954","35,405","34,335","49,752","57,490","61,996","51,223","44,927","48,840","69,142","78,050","64,167","77,837","84,538","92,965"
Cambodia,"294,647","451,774","536,031","697,765","883,595","1,095,543","907,061","1,347,342","2,314,810","2,708,103","3,409,507","3,274,738","3,770,011","3,963,645","4,795,209","6,022,950","7,981,531","8,054,487","11,566,149","14,184,187"
Cameroon,"64,935","100,017","129,873","191,147","299,056","379,284","415,876","540,793","874,109","1,064,318","1,514,679","1,877,578","1,838,133","1,581,578","1,395,374","1,706,517","1,670,170","2,022,463","2,714,022","3,166,875"
Canada,"5,632,184","8,161,179","11,653,675","15,516,845","19,360,318","21,795,877","17,675,119","22,216,134","25,266,590","28,125,194","29,216,715","30,003,679","29,426,458","27,642,566","31,570,057","35,532,673","36,931,958","42,094,313","51,510,532","53,704,893"
Cayman Islands,"3,883","2,469","4,038","15,860","10,770","35,671","17,988","13,600","29,545","113,579","11,189","8,461","62,548","169,330","256,870","101,196","38,306","36,582","37,496","54,921"
Central African Republic,"2,127","3,324","7,088","1,693","8,865","11,295","12,732","22,857","14,271","17,684","9,459","7,212","15,214","15,488","13,071","18,783","25,660","27,964","45,531","52,448"
Chad,"1,680","5,939","14,932","14,143","69,660","79,930","148,898","308,491","94,803","172,778","371,893","317,710","125,250","95,620","115,157","185,529","279,107","298,321","365,271","282,060"
Chile,"1,283,443","1,688,431","2,149,476","3,109,030","4,432,221","6,186,804","4,928,470","8,024,930","10,816,758","12,600,992","13,105,469","13,017,501","13,296,051","12,876,486","14,459,966","15,916,332","14,711,839","15,336,290","26,292,797","22,520,039"
China,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,131,408",0,0,"14,498","2,678","2,855",
Colombia,"398,204","629,273","930,153","1,496,274","2,270,851","2,987,931","2,396,433","3,819,950","5,838,843","6,228,774","6,826,037","8,043,334","7,588,037","6,824,573","7,443,100","8,740,282","9,234,150","9,320,163","14,354,661","15,600,099"
Comoros,694,"1,295","1,827","6,195","7,699","25,444","11,169","13,347","8,186","14,943","29,860","40,685","47,276","50,640","68,661","79,199","73,685","50,537","56,949","67,416"
Congo,"59,893","93,032","144,707","241,474","435,894","614,281","366,637","353,709","489,431","520,991","779,293","984,526","1,039,199","752,084","500,120","444,878","435,095","596,300","680,347","976,342"
"Congo, Democratic Republic of the","25,417","36,986","49,709","68,765","94,011","234,581","321,209","473,405","826,685","837,486","948,752","1,362,183","1,410,389","1,004,006","972,270","1,772,662","2,076,796","2,013,411","2,756,860","5,117,591"
Cook Islands,497,826,444,821,"1,132",870,"7,045","3,741","4,966","4,034","19,480","19,420","15,819","3,194","7,345","5,091","42,653","5,485","4,015","11,548"
Costa Rica,"98,517","154,418","228,767","408,749","568,232","619,158","537,823","688,035","884,537","901,756","926,977","1,109,538","1,331,293","1,504,221","1,495,475","1,664,265","1,521,332","1,535,659","2,255,326","2,368,609"
Côte d'Ivoire,"228,220","123,014","137,025","227,478","414,675","531,501","504,863","548,520","540,633","803,668","955,795","1,220,079","1,557,673","1,582,291","1,696,098","1,890,200","2,041,569","2,333,548","3,120,943","3,490,896"
Croatia,"169,154","344,515","573,658","878,388","1,540,860","1,741,988","1,118,522","1,343,731","1,540,930","1,299,886","1,389,943","1,027,325","985,971","1,021,543","1,155,688","1,329,773","1,396,821","1,566,721","1,977,035","2,265,544"
Cuba,"236,298","328,284","635,867","1,264,373","1,170,736","1,354,796","972,162","1,066,898","1,043,647","1,173,554","1,374,786","1,062,465","1,884,178","1,788,107","1,363,040","1,075,790","790,926","483,293","575,873","414,204"
Curaçao,0,0,0,0,0,0,0,0,"119,342","141,785","79,626","85,521","96,132","73,206","74,225","69,755","58,958","50,271","55,175","86,699"
Czech Republic,"1,281,586","1,351,082","1,667,414","2,365,830","4,134,950","5,497,483","5,023,772","7,121,516","7,669,407","6,323,551","6,837,795","7,992,899","8,227,215","8,052,784","8,781,492","11,912,529","12,973,043","13,737,631","15,108,153","18,227,387"
Denmark,"1,494,337","1,945,968","2,788,884","3,645,988","4,590,243","5,568,300","4,225,931","5,184,702","6,446,596","6,540,747","5,711,397","6,547,832","6,155,176","5,428,335","6,495,779","7,298,392","6,749,861","7,464,244","10,871,707","10,191,601"
Djibouti,"65,858","72,220","111,459","154,950","166,859","252,268","294,602","444,061","508,853","902,580","1,018,884","1,112,181","1,985,868","2,191,006","2,187,202","1,871,676","2,206,386","2,310,112","2,572,275","3,262,001"
Dominica,"33,578","45,553","49,046","60,864","73,773","75,749","22,321","40,892","26,490","25,299","22,969","37,040","34,065","35,132","49,073","34,531","33,749","21,059","34,587","34,472"
Dominican Republic,"148,145","232,756","264,154","401,805","513,619","657,886","592,005","904,338","967,391","1,029,937","1,045,515","1,273,626","1,559,823","1,586,358","1,706,285","2,111,622","2,390,428","2,493,940","4,002,492","4,318,823"
