Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Kuwait,"513,253","764,059","1,020,502","1,924,000","2,290,623","5,038,815","3,500,921","6,708,788","9,175,205","10,467,165","9,586,638","10,004,964","7,483,125","6,362,441","8,930,633","15,359,441","13,447,475","10,734,989","17,755,281","26,509,941"
Peru,"760,008","1,522,896","2,277,994","2,907,850","4,337,890","4,492,113","4,323,889","6,368,186","7,864,277","8,454,698","8,408,062","8,140,872","8,180,720","9,438,108","13,095,544","15,213,113","15,195,599","14,735,456","24,184,656","24,111,029"
Angola,"2,205,935","4,717,339","6,581,829","10,933,295","12,888,665","22,382,524","14,675,831","22,815,049","24,922,180","33,561,897","31,972,669","31,106,015","15,997,249","13,874,376","20,385,916","25,652,016","23,837,402","14,757,730","20,908,231","23,245,987"
Philippines,"6,306,833","9,059,443","12,869,689","17,674,561","23,117,835","19,504,744","11,946,610","16,220,255","17,992,317","19,643,205","18,181,829","20,984,132","19,019,735","17,368,933","19,148,726","20,595,680","20,199,393","19,335,468","24,759,917","23,046,246"
Qatar,"293,078","334,259","472,719","561,981","588,003","1,311,626","1,376,154","2,455,837","4,694,309","7,278,103","8,463,353","8,336,728","4,615,094","4,005,599","6,386,681","9,091,343","8,713,108","8,305,086","13,210,132","22,557,802"
United Kingdom,"3,570,342","4,758,503","5,523,783","6,506,395","7,776,493","9,541,782","7,877,357","11,305,193","14,556,661","16,801,247","19,078,788","23,726,733","18,925,748","18,661,724","22,302,351","23,893,337","23,931,238","19,871,556","25,652,938","21,822,457"
India,"4,251,377","7,678,030","9,766,216","10,277,449","14,617,156","20,258,886","13,714,289","20,846,313","23,372,279","18,797,191","16,970,270","16,358,691","13,395,985","11,748,712","16,333,354","18,850,037","17,985,879","20,977,286","28,137,336","17,482,817"
Mexico,"1,676,741","2,139,840","2,225,295","2,607,103","3,265,310","3,690,255","3,881,899","6,875,188","9,377,587","9,161,025","10,238,486","11,173,418","10,082,750","10,293,721","11,749,246","14,054,302","14,334,538","16,217,413","19,142,586","17,429,580"
"Congo, Democratic Republic of the","26,242","99,585","175,772","368,550","460,176","1,583,860","1,136,448","2,505,716","3,161,988","3,527,095","2,745,655","2,811,558","2,664,738","2,083,052","3,242,693","5,682,945","4,429,185","7,083,727","11,671,200","16,780,865"
New Zealand,"1,023,584","1,413,218","1,325,995","1,314,431","1,538,199","1,892,346","2,477,073","3,763,103","4,980,969","5,810,232","8,253,214","9,505,522","6,583,272","7,142,060","9,337,196","11,079,793","12,557,981","12,076,042","16,155,340","15,976,171"
Kazakhstan,"1,719,980","2,286,271","2,909,355","3,607,273","6,431,909","7,727,828","6,255,600","11,108,591","15,349,866","14,675,447","16,050,838","9,741,822","5,840,304","4,793,614","6,342,399","8,529,554","7,864,755","8,598,922","10,262,825","14,819,247"
Myanmar,"169,520","206,940","274,395","252,650","378,140","647,549","646,122","966,087","1,679,873","1,298,226","2,856,867","15,601,279","5,301,349","4,153,067","4,529,452","4,718,842","4,793,015","5,068,977","6,845,051","11,493,541"
