Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Croatia,"6,809","21,904","43,831","55,033","67,625","67,836","74,856","50,890","79,531","74,514","104,266","100,663","112,094","161,383","181,791","212,017","144,981","137,590","339,903","158,667"
Georgia,"8,223","34,174","2,659","6,951","15,586","3,527","17,868","41,802","38,105","33,582","54,456","53,111","44,099","52,526","67,632","53,914","81,045","100,866","174,468","156,718"
Timor-Leste,0,0,1,"10,964",49,106,23,250,"1,743",688,397,100,725,290,"1,562","3,014","24,564","1,211","113,151","145,357"
"Korea, Democratic People's Republic of","395,345","585,661","499,141","467,764","583,836","760,413","793,026","1,194,537","2,475,460","2,502,531","2,927,497","2,867,931","2,506,690","2,576,499","1,674,235","213,208","215,240","47,948","57,855","133,678"
Bosnia and Herzegovina,639,780,"103,406","120,104","27,287","6,614","13,562","17,597","29,895","23,301","20,880","37,242","53,729","43,542","57,207","77,401","76,879","72,684","137,812","122,706"
Burkina Faso,"32,340","124,112","163,266","193,313","155,040","62,484","116,175","121,094","182,408","232,656","186,891","123,904","44,210","14,000","20,429","95,736","59,858","79,957","188,453","104,015"
Djibouti,149,514,536,384,"1,639","1,792",110,691,176,617,274,"1,685",898,132,12,204,"20,045","46,249","55,806","96,734"
Mali,"28,390","106,755","79,250","114,240","35,895","62,952","37,049","70,411","149,595","331,685","152,468","95,651","92,978","98,694","67,802","88,509","160,301","168,652","127,553","87,679"
"Moldova, Republic of","8,021",186,140,560,"1,406","2,614","3,258","6,712","12,829","18,625","18,586","24,793","21,514","24,356","33,916","38,426","46,808","60,473","104,686","84,884"
Paraguay,"12,739","58,289","58,549","53,669","19,676","25,323","27,454","45,615","44,493","47,842","60,671","55,625","41,938","22,321","32,964","40,251","16,347","13,912","54,332","84,613"
Kyrgyzstan,"69,141","109,546","105,050","112,916","113,693","121,328","48,450","72,069","98,121","89,021","62,350","55,424","56,787","71,229","86,992","54,359","66,041","34,801","79,732","81,661"
"Macao, China","185,543","215,879","264,539","257,039","280,381","305,849","246,056","123,550","162,269","279,177","387,121","212,408","185,752","138,923","102,956","64,078","67,078","63,137","81,623","79,362"
Rwanda,"7,117","16,026","11,532","21,888","23,634","29,579","25,698","38,674","78,129","71,465","108,450","91,891","43,362","33,139","28,850","39,959","35,007","38,209","28,723","70,478"
Lebanon,"4,682","9,704","4,189","8,600","18,621","13,274","8,977","27,275","25,950","20,327","45,579","25,387","17,378","17,596","22,930","49,081","26,007","31,798","47,905","64,027"
Uganda,"3,503","11,641","20,002","17,785","19,898","17,060","20,103","26,567","40,249","42,875","71,925","111,569","85,576","37,760","33,388","47,167","41,593","39,692","43,897","58,280"
Montenegro,0,0,0,0,"1,349","2,125",745,"3,064","12,056","21,458","16,143","53,560","24,414","32,617","66,472","42,190","43,312","57,384","11,332","47,206"
Suriname,"16,089",961,"7,318","3,948","3,057","3,659","11,909","13,232","15,900","23,353","28,089","52,672","50,841","29,068","26,221","53,027","53,513","61,103","41,860","45,813"
Gambia,"1,549",124,170,446,"8,688","3,164","6,640","14,998","54,101","84,713","77,978","37,932","55,784","89,705","99,023","20,062","71,444","29,902","44,601","44,142"
Fiji,"5,355","6,180","2,272","1,228","2,571",921,579,950,"1,217","22,161","59,376","52,881","21,448","17,150","17,493","25,310","14,418","23,539","55,506","43,364"
Afghanistan,612,947,"1,512",186,"2,376","2,693","1,376","3,680","4,403","5,187","9,595","17,372","11,996","4,489","3,255","24,109","29,279","54,512","49,527","42,016"
Nicaragua,365,"2,950","14,167",763,"3,390","3,466","3,255","7,119","24,356","115,850","91,822","43,369","34,824","17,827","28,317","105,735","45,554","18,958","25,064","36,026"
Mauritius,"3,126","6,654","8,277","7,326","5,025","5,705","6,026","10,099","9,687","10,713","12,868","14,200","15,421","19,662","21,866","37,457","38,881","26,488","35,737","31,628"
Honduras,"3,379","11,663","14,174","18,617","16,084","16,146","50,340","92,629","146,714","251,074","234,871","161,664","35,763","27,711","23,063","48,507","31,787","45,953","34,131","29,239"
Barbados,45,241,211,294,"1,131","1,418","2,233","3,808","6,708","10,443","12,688","14,802","18,830","18,629","24,759","21,274","20,263","15,162","15,246","26,552"
Central African Republic,"2,313","6,245","8,990","8,609","6,612","21,439","14,645","25,164","28,138","48,619","40,649","29,273","26,521","31,562","28,105","54,109","36,202","57,075","36,066","25,026"
Lesotho,1,1,331,"1,280","1,244","1,698","1,683","4,529","7,411","5,418","13,413","12,081","12,003","19,639","24,839","30,104","31,274","12,262","23,661","22,237"
Nepal,"5,350","8,231","8,495","8,285","14,790","5,976","5,290","11,416","13,865","29,520","43,250","47,067","22,988","19,449","15,580","21,992","33,538","16,154","26,508","21,774"
Liberia,"41,955","16,519","14,170","1,928","3,277","5,936","3,959","22,483","41,245","229,945","164,418","288,449","181,819","48,522","28,840","89,245","123,854","97,344","23,733","15,004"
Jamaica,"105,461","269,846","220,997","358,767","38,464","5,575","21,562","3,711","3,971","30,686","3,811","37,514","31,174","15,683","47,411","76,265","29,584","31,931","6,126","14,662"
Malawi,9,45,"2,068",986,759,"8,111","16,990","31,476","46,036","47,503","38,421","34,143","29,580","26,112","27,321","27,356","15,709","12,332","9,812","12,449"
Vanuatu,196,264,475,"1,052",402,433,"1,367",660,"2,394","2,418","2,244","6,915","14,054","4,982","14,238","15,734","14,574","7,937","11,830","10,815"
Burundi,"1,735",319,327,"1,746",674,121,969,"3,458","13,748","10,678","9,307","4,143","2,816","2,734","6,928","11,931","12,946","7,638","8,606","10,073"
Bahamas,781,695,188,68,"18,119",609,148,153,"62,901","116,885",77,188,"24,365","51,600","21,005","12,877","78,589","72,928","17,257","8,825"
Somalia,"6,624","7,811","3,074","3,065","1,723",189,550,"1,697","5,796","3,104","16,340","29,880","24,677","11,684","11,798","16,552","18,698","7,872","10,798","7,383"
French Polynesia,165,859,"1,068","1,696","1,436","2,978","2,747","1,099","5,296","8,038","4,252","5,726","2,672","6,589","6,052","7,036","6,817","4,154","4,338","3,446"
Bhutan,5,171,2,0,1,0,52,13,76,13,9,104,350,128,173,8,47,33,11,"2,854"
Haiti,20,260,272,"1,365","6,330","7,477","2,883","5,950","7,368","9,968","15,010","14,832","10,677","6,376","7,555","7,547","4,493","3,026","4,329","2,584"
Syrian Arab Republic,"26,361","28,014","17,739","50,664","8,272","9,865","10,017","40,288","26,155","10,915","4,705","2,128","3,479","3,255","1,315",869,"1,409","1,331","1,283","2,241"
Antigua and Barbuda,0,0,0,5,0,75,96,53,51,71,339,38,7,34,6,45,70,33,"2,689","1,049"
Samoa,357,975,41,12,297,"2,611","7,626",23,27,23,11,195,984,799,526,508,443,575,643,945
Cook Islands,78,81,"5,472","1,196","1,844","1,797",258,"1,154",738,"1,018","1,008","1,703","1,597","1,203","5,766","2,502","1,756","2,644","2,054",823
Eswatini,"14,533","14,633","23,181","24,822","19,332","11,280","15,108","2,504",344,"100,381","115,072","46,111",289,326,"3,252","27,460",766,484,"1,292",781
Belize,988,0,205,20,0,27,13,252,"2,902","7,787","8,385","7,272","1,786",933,412,256,151,438,45,711
Saint Kitts and Nevis,0,1,0,0,10,143,43,304,476,134,276,424,338,440,699,"1,189",363,424,671,645
America not elsewhere specified,0,27,0,"19,132",0,87,0,0,17,279,9,56,388,34,"3,069",32,365,337,391,588
Dominica,758,"1,753",946,"8,184","4,109","2,165","1,160","2,529",396,"1,146",109,566,654,935,708,119,477,599,"1,432",432
Africa not elsewhere specified,16,0,398,692,413,174,6,15,"4,609",206,45,11,682,15,899,27,9,32,297,353
Grenada,306,0,1,20,45,41,31,8,1,4,32,5,12,7,11,3,2,44,24,272
Aruba,25,60,137,0,114,225,146,142,35,"13,243",157,"184,284",6,377,5,34,48,89,6,208
Andorra,0,4,9,0,7,45,183,34,148,324,15,31,11,104,90,166,210,432,715,191
Marshall Islands,58,2,0,202,35,1,"11,870","5,241","16,542","23,381","77,754","43,328","25,008","20,084","18,269","33,886","44,686","7,679","2,750",175
Sao Tome and Principe,29,"1,338",0,0,0,17,4,10,2,43,2,0,33,18,0,50,14,47,133,150
Oceania Nes,132,26,72,35,125,14,21,43,7,325,278,195,567,0,3,567,855,394,336,148
Palau,0,0,0,5,1,60,0,32,5,28,14,62,5,38,0,120,59,7,85,127
Nauru,0,0,0,0,0,0,0,0,9,62,37,13,92,16,85,121,26,82,107,107
"Micronesia, Federated States of",0,0,19,73,321,10,"3,964","2,861","1,615","10,925","9,983","5,442","1,344","6,892","11,656","21,862","12,575","7,260","17,434",101
Turks and Caicos Islands,16,22,19,1,0,0,0,0,0,1,8,14,2,0,2,0,6,57,25,90
Comoros,1,0,1,1,2,0,2,24,7,6,8,9,22,13,37,28,32,117,114,78
Seychelles,33,28,10,598,"4,460","3,684",31,11,322,263,402,197,100,74,"1,471",25,69,38,13,70
British Virgin Islands,0,"2,670",2,2,111,560,201,31,26,7,88,9,8,8,105,26,348,267,128,59
Maldives,10,180,27,598,284,"1,417",128,48,136,186,418,380,193,231,566,"6,663","33,719","5,771","4,358",56
Saint Lucia,7,27,"32,707",26,115,50,180,123,288,120,27,33,69,38,54,59,188,59,133,53
Bermuda,0,0,3,0,18,4,4,0,3,0,0,11,2,73,7,84,11,4,20,45
Cabo Verde,0,0,0,0,0,0,0,12,12,1,0,3,23,83,5,290,29,"1,210","1,147",20
Gibraltar,0,0,0,6,0,13,0,2,23,3,"6,010",1,333,1,38,2,2,1,9,19
"Palestine, State of",234,74,229,208,152,249,747,363,"1,041",338,186,86,443,309,117,444,140,9,338,19
Curaçao,0,0,0,0,0,0,0,0,199,147,"1,461",26,296,96,49,141,14,18,13,19
Cayman Islands,0,0,0,116,5,0,7,316,90,123,264,1,1,17,3,121,82,13,106,14
Tuvalu,0,0,0,76,58,0,8,0,0,0,0,0,994,26,7,9,26,12,38,11
Montserrat,541,3,0,0,4,24,133,24,85,39,22,9,5,9,53,3,3,2,17,11
Europe Othr. Nes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,329,226,110,9
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,81,3,4
Guinea-Bissau,0,29,0,0,173,"1,243","1,617","3,863","4,113","6,633","16,828","49,956","17,812",161,402,"7,639","8,402",5,1,3
Saint Vincent and the Grenadines,0,0,0,0,0,"26,199",104,22,24,2,0,0,49,62,63,233,1,9,2,3
Tonga,53,0,1,13,39,18,59,6,47,0,25,35,23,24,583,119,130,238,41,2
Western Sahara,0,0,0,0,0,0,0,0,18,0,7,7,0,0,0,4,0,0,0,1
Kiribati,0,0,21,0,1,0,4,5,90,173,456,"2,902","4,003","9,493",404,103,941,222,5,1
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,5,1,0,"47,145",0,0,0,0,0,1,0,0
Norfolk Island,9,0,0,0,0,58,0,7,0,0,0,0,0,3,1,11,0,6,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0,1,69,0,0,4,0,0,0,32,0,2,1,0,0
Wallis and Futuna Islands,0,0,53,0,0,0,0,0,0,0,13,13,0,0,0,4,0,1,15,0
Faroe Islands,0,0,0,"4,327","6,881","8,259","6,684","13,938","27,130","49,532","74,571","105,027",0,0,0,0,0,0,,
LAIA not elsewhere specified,0,0,0,0,0,192,0,0,0,3,776,"1,060",0,0,0,0,0,0,,
Serbia and Montenegro,"13,931","12,559","21,414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mayotte,0,0,0,0,0,0,1,4,0,112,1,0,0,0,0,0,0,0,,
Netherlands Antilles,571,556,"1,040",169,0,252,1,25,0,0,0,0,0,0,0,0,0,0,,
